id,topic1,topic2,topic3,published_year
Modular_arithmetic_LLL_and_HNF_algorithms,Computer science,Algorithms,Mathematical,2021
Safe_Distance,Computer science,Algorithms,Mathematical,2020
Smith_Normal_Form,Computer science,Algorithms,Mathematical,2020
Signature_Groebner,Computer science,Algorithms,Mathematical,2018
LLL_Basis_Reduction,Computer science,Algorithms,Mathematical,2018
Taylor_Models,Computer science,Algorithms,Mathematical,2018
Diophantine_Eqns_Lin_Hom,Computer science,Algorithms,Mathematical,2017
Groebner_Bases,Computer science,Algorithms,Mathematical,2016
Hermite,Computer science,Algorithms,Mathematical,2015
QR_Decomposition,Computer science,Algorithms,Mathematical,2015
Echelon_Form,Computer science,Algorithms,Mathematical,2015
UpDown_Scheme,Computer science,Algorithms,Mathematical,2015
Gauss_Jordan,Computer science,Algorithms,Mathematical,2014
Gauss-Jordan-Elim-Fun,Computer science,Algorithms,Mathematical,2011
Polynomials,Computer science,Algorithms,Mathematical,2010
FFT,Computer science,Algorithms,Mathematical,2005
List_Update,Computer science,Algorithms,Online,2016
Unconstrained_Optimization,Computer science,Algorithms,Optimization,2025
Simplex,Computer science,Algorithms,Optimization,2018
Quantum_Fourier_Transform,Computer science,Algorithms,Quantum computing,2025
Registers,Computer science,Algorithms,Quantum computing,2021
Projective_Measurements,Computer science,Algorithms,Quantum computing,2021
Isabelle_Marries_Dirac,Computer science,Algorithms,Quantum computing,2020
CVM_Distinct_Elements,Computer science,Algorithms,Randomized,2025
Randomized_Closest_Pair,Computer science,Algorithms,Randomized,2024
Derandomization_Conditional_Expectations,Computer science,Algorithms,Randomized,2024
Approximate_Model_Counting,Computer science,Algorithms,Randomized,2024
Sumcheck_Protocol,Computer science,Algorithms,Randomized,2024
Executable_Randomized_Algorithms,Computer science,Algorithms,Randomized,2023
Schwartz_Zippel,Computer science,Algorithms,Randomized,2023
Distributed_Distinct_Elements,Computer science,Algorithms,Randomized,2023
Expander_Graphs,Computer science,Algorithms,Randomized,2023
Frequency_Moments,Computer science,Algorithms,Randomized,2022
Universal_Hash_Families,Computer science,Algorithms,Randomized,2022
Median_Method,Computer science,Algorithms,Randomized,2022
Skip_Lists,Computer science,Algorithms,Randomized,2020
Probabilistic_Prime_Tests,Computer science,Algorithms,Randomized,2019
Randomised_BSTs,Computer science,Algorithms,Randomized,2018
Probabilistic_While,Computer science,Algorithms,Randomized,2017
Random_BSTs,Computer science,Algorithms,Randomized,2017
Quick_Sort_Cost,Computer science,Algorithms,Randomized,2017
Fisher_Yates,Computer science,Algorithms,Randomized,2016
List_Update,Computer science,Algorithms,Randomized,2016
Neural_Networks,Computer science,Artificial intelligence,,2025
Stratified_Datalog,Computer science,Artificial intelligence,,2025
Sigmoid_Universal_Approximation,Computer science,Artificial intelligence,,2025
Boolos_Curious_Inference_Automated,Computer science,Artificial intelligence,,2022
Verified_SAT_Based_AI_Planning,Computer science,Artificial intelligence,,2020
AI_Planning_Languages_Semantics,Computer science,Artificial intelligence,,2020
Workflow_Net_Fitness_Measures,Computer science,Automata and formal languages,,2026
HOL-CSP_Proc-Omata,Computer science,Automata and formal languages,,2026
Dynamic_Pushdown_Networks,Computer science,Automata and formal languages,,2025
Pre_Star_CFG,Computer science,Automata and formal languages,,2025
Pushdown_Automata,Computer science,Automata and formal languages,,2025
Munta_Certificate_Checker,Computer science,Automata and formal languages,,2025
Greibach_Normal_Form,Computer science,Automata and formal languages,,2025
Two_Way_DFA_HF,Computer science,Automata and formal languages,,2025
Parikh,Computer science,Automata and formal languages,,2025
Dyck_Language,Computer science,Automata and formal languages,,2025
Chomsky_Schuetzenberger,Computer science,Automata and formal languages,,2025
Munta_Model_Checker,Computer science,Automata and formal languages,,2025
Context_Free_Grammar,Computer science,Automata and formal languages,,2025
Mission_Time_LTL_Language_Partition,Computer science,Automata and formal languages,,2025
List_Power,Computer science,Automata and formal languages,,2025
Mission_Time_LTL_to_Regular_Expression,Computer science,Automata and formal languages,,2025
Mission_Time_LTL,Computer science,Automata and formal languages,,2025
Nominal_Myhill_Nerode,Computer science,Automata and formal languages,,2023
Pushdown_Systems,Computer science,Automata and formal languages,,2023
Labeled_Transition_Systems,Computer science,Automata and formal languages,,2023
IO_Language_Conformance,Computer science,Automata and formal languages,,2023
Cook_Levin,Computer science,Automata and formal languages,,2023
Two_Generated_Word_Monoids_Intersection,Computer science,Automata and formal languages,,2023
Binary_Code_Imprimitive,Computer science,Automata and formal languages,,2023
Multitape_To_Singletape_TM,Computer science,Automata and formal languages,,2022
FSM_Tests,Computer science,Automata and formal languages,,2022
ResiduatedTransitionSystem,Computer science,Automata and formal languages,,2022
FO_Theory_Rewriting,Computer science,Automata and formal languages,,2022
Regular_Tree_Relations,Computer science,Automata and formal languages,,2021
Combinatorics_Words_Lyndon,Computer science,Automata and formal languages,,2021
Combinatorics_Words_Graph_Lemma,Computer science,Automata and formal languages,,2021
Combinatorics_Words,Computer science,Automata and formal languages,,2021
Extended_Finite_State_Machines,Computer science,Automata and formal languages,,2020
Extended_Finite_State_Machine_Inference,Computer science,Automata and formal languages,,2020
LTL_Normal_Form,Computer science,Automata and formal languages,,2020
MFODL_Monitor_Optimized,Computer science,Automata and formal languages,,2020
Adaptive_State_Counting,Computer science,Automata and formal languages,,2019
C2KA_DistributedSystems,Computer science,Automata and formal languages,,2019
MFOTL_Monitor,Computer science,Automata and formal languages,,2019
LTL_Master_Theorem,Computer science,Automata and formal languages,,2019
Universal_Turing_Machine,Computer science,Automata and formal languages,,2019
Factored_Transition_System_Bounding,Computer science,Automata and formal languages,,2018
Partial_Order_Reduction,Computer science,Automata and formal languages,,2018
Probabilistic_Timed_Automata,Computer science,Automata and formal languages,,2018
Stochastic_Matrices,Computer science,Automata and formal languages,,2017
Transition_Systems_and_Automata,Computer science,Automata and formal languages,,2017
Buchi_Complementation,Computer science,Automata and formal languages,,2017
LocalLexing,Computer science,Automata and formal languages,,2017
Posix-Lexing,Computer science,Automata and formal languages,,2016
CYK,Computer science,Automata and formal languages,,2016
KAD,Computer science,Automata and formal languages,,2016
Timed_Automata,Computer science,Automata and formal languages,,2016
LTL,Computer science,Automata and formal languages,,2016
LTL_to_DRA,Computer science,Automata and formal languages,,2015
Formula_Derivatives,Computer science,Automata and formal languages,,2015
Probabilistic_System_Zoo,Computer science,Automata and formal languages,,2015
Finite_Automata_HF,Computer science,Automata and formal languages,,2015
MSO_Regex_Equivalence,Computer science,Automata and formal languages,,2014
LTL_to_GBA,Computer science,Automata and formal languages,,2014
CAVA_LTL_Modelchecker,Computer science,Automata and formal languages,,2014
CAVA_Automata,Computer science,Automata and formal languages,,2014
Regular_Algebras,Computer science,Automata and formal languages,,2014
Regex_Equivalence,Computer science,Automata and formal languages,,2014
KAT_and_DRA,Computer science,Automata and formal languages,,2014
Coinductive_Languages,Computer science,Automata and formal languages,,2013
Kleene_Algebra,Computer science,Automata and formal languages,,2013
Stuttering_Equivalence,Computer science,Automata and formal languages,,2012
Markov_Models,Computer science,Automata and formal languages,,2012
Myhill-Nerode,Computer science,Automata and formal languages,,2011
KBPs,Computer science,Automata and formal languages,,2011
Statecharts,Computer science,Automata and formal languages,,2010
Regular-Sets,Computer science,Automata and formal languages,,2010
Presburger-Automata,Computer science,Automata and formal languages,,2009
Tree-Automata,Computer science,Automata and formal languages,,2009
Functional-Automata,Computer science,Automata and formal languages,,2004
Dynamic_Pushdown_Networks,Computer science,Concurrency,,2025
RG_Locks,Computer science,Concurrency,,2025
Weak_Spectroscopy,Computer science,Concurrency,,2025
Serializable,Computer science,Concurrency,,2025
LTL3_Semantics,Computer science,Concurrency,,2024
ResiduatedTransitionSystem2,Computer science,Concurrency,,2024
ConcurrentHOL,Computer science,Concurrency,,2024
Coupledsim_Contrasim,Computer science,Concurrency,,2023
CommCSL,Computer science,Concurrency,,2023
ResiduatedTransitionSystem,Computer science,Concurrency,,2022
TESL_Language,Computer science,Concurrency,,2019
Store_Buffer_Reduction,Computer science,Concurrency,,2019
Concurrent_Revisions,Computer science,Concurrency,,2018
Concurrent_Ref_Alg,Computer science,Concurrency,,2016
FLP,Computer science,Concurrency,,2016
HOL-CSP_Proc-Omata,Computer science,Concurrency,Process calculi,2026
HOL-CSP_PTick,Computer science,Concurrency,Process calculi,2026
Restriction_Spaces-Examples,Computer science,Concurrency,Process calculi,2025
HOL-CSP_RS,Computer science,Concurrency,Process calculi,2025
ProcessComposition,Computer science,Concurrency,Process calculi,2024
Broadcast_Psi,Computer science,Concurrency,Process calculi,2024
HOL-CSP_OpSem,Computer science,Concurrency,Process calculi,2023
HOL-CSPM,Computer science,Concurrency,Process calculi,2023
CSP_RefTK,Computer science,Concurrency,Process calculi,2020
HOL-CSP,Computer science,Concurrency,Process calculi,2019
Modal_Logics_for_NTS,Computer science,Concurrency,Process calculi,2016
Noninterference_Concurrent_Composition,Computer science,Concurrency,Process calculi,2016
Noninterference_Sequential_Composition,Computer science,Concurrency,Process calculi,2016
Encodability_Process_Calculi,Computer science,Concurrency,Process calculi,2015
Noninterference_Generic_Unwinding,Computer science,Concurrency,Process calculi,2015
AODV,Computer science,Concurrency,Process calculi,2014
AWN,Computer science,Concurrency,Process calculi,2014
Psi_Calculi,Computer science,Concurrency,Process calculi,2012
Pi_Calculus,Computer science,Concurrency,Process calculi,2012
CCS,Computer science,Concurrency,Process calculi,2012
Circus,Computer science,Concurrency,Process calculi,2012
Serializable,Computer science,Data management systems,,2025
MFOTL_Checker,Computer science,Data management systems,,2024
Query_Optimization,Computer science,Data management systems,,2022
Safe_Range_RC,Computer science,Data management systems,,2022
Eval_FO,Computer science,Data management systems,,2022
BTree,Computer science,Data management systems,,2021
Generic_Join,Computer science,Data management systems,,2019
Workflow_Net_Fitness_Measures,Computer science,Data structures,,2026
Neural_Networks,Computer science,Data structures,,2025
List_Power,Computer science,Data structures,,2025
SuffixArray,Computer science,Data structures,,2024
Difference_Bound_Matrices,Computer science,Data structures,,2024
Region_Quadtrees,Computer science,Data structures,,2024
Fixed_Length_Vector,Computer science,Data structures,,2023
Nano_JSON,Computer science,Data structures,,2022
Real_Time_Deque,Computer science,Data structures,,2022
Prefix_Free_Code_Combinators,Computer science,Data structures,,2022
Van_Emde_Boas_Trees,Computer science,Data structures,,2021
Fresh_Identifiers,Computer science,Data structures,,2021
BTree,Computer science,Data structures,,2021
Hood_Melville_Queue,Computer science,Data structures,,2021
Finite-Map-Extras,Computer science,Data structures,,2020
Shadow_SC_DOM,Computer science,Data structures,,2020
Shadow_DOM,Computer science,Data structures,,2020
SC_DOM_Components,Computer science,Data structures,,2020
DOM_Components,Computer science,Data structures,,2020
Core_SC_DOM,Computer science,Data structures,,2020
Relational_Disjoint_Set_Forests,Computer science,Data structures,,2020
ADS_Functor,Computer science,Data structures,,2020
Skip_Lists,Computer science,Data structures,,2020
Interval_Arithmetic_Word32,Computer science,Data structures,,2019
Priority_Search_Trees,Computer science,Data structures,,2019
IMP2_Binary_Heap,Computer science,Data structures,,2019
KD_Tree,Computer science,Data structures,,2019
Core_DOM,Computer science,Data structures,,2018
Auto2_Imperative_HOL,Computer science,Data structures,,2018
Generic_Deriving,Computer science,Data structures,,2018
Randomised_BSTs,Computer science,Data structures,,2018
Optimal_BST,Computer science,Data structures,,2018
OpSets,Computer science,Data structures,,2018
Weight_Balanced_Trees,Computer science,Data structures,,2018
